date,category_id,forecast_revenue
2026-09-01,1,160320606.5067143
2026-10-01,1,162773910.0230889
2026-11-01,1,143682063.92012733
2026-12-01,1,128761943.27918237
2027-01-01,1,144833160.26158404
2027-02-01,1,149048136.3468296
2027-03-01,1,177257268.73689246
2027-04-01,1,166379815.74462247
2027-05-01,1,131738295.45302859
2027-06-01,1,163386811.05555218
2027-07-01,1,154751222.01664093
2027-08-01,1,148237709.29272655
2026-09-01,2,184182272.62929454
2026-10-01,2,189447557.96937656
2026-11-01,2,176060756.60991374
2026-12-01,2,220969683.8821495
2027-01-01,2,200866154.34905404
2027-02-01,2,209605854.32513973
2027-03-01,2,203827002.07801694
2027-04-01,2,145767193.57858297
2027-05-01,2,173447974.5585488
2027-06-01,2,213432555.9093527
2027-07-01,2,198875872.7573643
2027-08-01,2,222426805.5236733
2026-09-01,3,530439252.93415254
2026-10-01,3,559311006.0257443
2026-11-01,3,538687316.2865916
2026-12-01,3,568199739.3827518
2027-01-01,3,512065698.429063
2027-02-01,3,526255884.31391525
2027-03-01,3,562859284.0659375
2027-04-01,3,477693858.3660915
2027-05-01,3,486173735.8595485
2027-06-01,3,604770765.4224279
2027-07-01,3,607141572.7494692
2027-08-01,3,498555876.74767005
2026-09-01,4,86544106.84591204
2026-10-01,4,90353679.68666162
2026-11-01,4,95226464.86971864
2026-12-01,4,86076977.48833452
2027-01-01,4,88494788.02973135
2027-02-01,4,101318751.31722379
2027-03-01,4,90257041.89090814
2027-04-01,4,85461253.27035262
2027-05-01,4,96813505.84837554
2027-06-01,4,96473331.64060931
2027-07-01,4,63423811.391490564
2027-08-01,4,102789653.90384774
2026-09-01,5,90707077.441028
2026-10-01,5,106624311.57489932
2026-11-01,5,93527134.10281682
2026-12-01,5,101675970.22208868
2027-01-01,5,99030913.80817688
2027-02-01,5,103705971.33991957
2027-03-01,5,90682351.13056277
2027-04-01,5,96750220.89799416
2027-05-01,5,103053572.34470241
2027-06-01,5,119937694.78244583
2027-07-01,5,107240709.50101022
2027-08-01,5,114337716.24728121
